City_id,City_name,Country_name,Link
g190431,Styria,Austria,https://www.tripadvisor.com/Tourism-g190431-Styria-Tourism.html
g190454,Vienna,Austria,https://www.tripadvisor.com/Tourism-g190454-Vienna-Tourism.html
g190448,Vorarlberg,Austria,https://www.tripadvisor.com/Tourism-g190448-Vorarlberg_Austrian_Alps-Tourism.html
g293934,Baku,Azerbaijan,https://www.tripadvisor.com/Tourism-g293934-Baku_Absheron_Region-Tourism.html
g815350,Ganja,Azerbaijan,https://www.tripadvisor.com/Tourism-g815350-Ganja_Ganja_Gazakh_Region-Tourism.html
g11801144,Gadabay,Azerbaijan,https://www.tripadvisor.com/Tourism-g11801144-Gadabay-Tourism.html
g2273830,Goychay,Azerbaijan,https://www.tripadvisor.com/Tourism-g2273830-Goychay_Aran_Region-Tourism.html
g3735742,Lankaran,Azerbaijan,https://www.tripadvisor.com/Tourism-g3735742-Lankaran_Lankaran_Region-Tourism.html
g666443,Martuni,Azerbaijan,https://www.tripadvisor.com/Tourism-g666443-Martuni_Lake_Sevan_Gegharkunik_Province-Tourism.html
g3721836,Mingachevir,Azerbaijan,https://www.tripadvisor.com/Tourism-g3721836-Mingachevir_Aran_Region-Tourism.html
g1025590,Shirvan,Azerbaijan,https://www.tripadvisor.com/Tourism-g1025590-Shirvan_Lorestan_Province-Tourism.html
g1071610,Sumgayit,Azerbaijan,https://www.tripadvisor.com/Tourism-g1071610-Sumgayit_Absheron_Region-Tourism.html
g297306,Muharraq,Bahrain,https://www.tripadvisor.com/Tourism-g297306-Al_Muharraq-Tourism.html
g294448,Minsk,Belarus,https://www.tripadvisor.com/Tourism-g294448-Minsk-Tourism.html
g188636,Antwerp,Belgium,https://www.tripadvisor.com/Tourism-g188636-Antwerp_Antwerp_Province-Tourism.html
g1452340,Flanders,Belgium,https://www.tripadvisor.com/Tourism-g1452340-Flanders-Tourism.html
g198491,Limburg,Belgium,https://www.tripadvisor.com/Tourism-g198491-Limburg_Hesse-Tourism.html
g190340,Luxembourg,Belgium,https://www.tripadvisor.com/Tourism-g190340-Luxembourg-Tourism.html
g2263872,Wallonia,Belgium,https://www.tripadvisor.com/Tourism-g2263872-Wallonia-Tourism.html
g154990,Hamilton,Bermuda,https://www.tripadvisor.com/Tourism-g154990-Hamilton_Ontario-Tourism.html
g147259,Paget,Bermuda,https://www.tripadvisor.com/Tourism-g147259-Paget_Parish_Bermuda-Tourism.html
g181741,Pembroke,Bermuda,https://www.tripadvisor.com/Tourism-g181741-Pembroke_Ontario-Tourism.html
g186299,Southampton,Bermuda,https://www.tripadvisor.com/Tourism-g186299-Southampton_Hampshire_England-Tourism.html
g54121,Warwick,Bermuda,https://www.tripadvisor.com/Tourism-g54121-Warwick_Rhode_Island-Tourism.html
g147267,Bonaire,"Bonaire, Sint Eustatius and Saba",https://www.tripadvisor.com/Tourism-g147267-Bonaire-Tourism.html
g147335,Saba,"Bonaire, Sint Eustatius and Saba",https://www.tripadvisor.com/Tourism-g147335-Saba-Tourism.html
g14083242,Ngamiland,Botswana,https://www.tripadvisor.com/Tourism-g14083242-Ngamiland_East_North_West_District-Tourism.html
g297736,Acre,Brazil,https://www.tripadvisor.com/Tourism-g297736-Acre_Northern_District-Tourism.html
g5462151,Tocantins,Brazil,https://www.tripadvisor.com/Tourism-g5462151-Tocantins_State_of_Minas_Gerais-Tourism.html
g3657751,Mouhoun,Burkina Faso,https://www.tripadvisor.com/Tourism-g3657751-Boucle_du_Mouhoun_Region-Tourism.html
g3678196,Karuzi,Burundi,https://www.tripadvisor.com/Tourism-g3678196-Karuzi_Province-Tourism.html
g3678199,Kirundo,Burundi,https://www.tripadvisor.com/Tourism-g3678199-Kirundo_Province-Tourism.html
g1046977,Muramvya,Burundi,https://www.tripadvisor.com/Tourism-g1046977-Muramvya_Muramvya_Province-Tourism.html
g303666,Battambang,Cambodia,https://www.tripadvisor.com/Tourism-g303666-Battambang_Battambang_Province-Tourism.html
g608455,Kampot,Cambodia,https://www.tripadvisor.com/Tourism-g608455-Kampot_Kampot_Province-Tourism.html
g2366665,Kandal,Cambodia,https://www.tripadvisor.com/Tourism-g2366665-Kandal_Province-Tourism.html
g608456,Kep,Cambodia,https://www.tripadvisor.com/Tourism-g608456-Kep_Kep_Province-Tourism.html
g729351,Kratie,Cambodia,https://www.tripadvisor.com/Tourism-g729351-Kratie_Kratie_Province-Tourism.html
g2040763,Pailin,Cambodia,https://www.tripadvisor.com/Tourism-g2040763-Pailin_Pailin_Province-Tourism.html
g729356,Pursat,Cambodia,https://www.tripadvisor.com/Tourism-g729356-Pursat_Pursat_Province-Tourism.html
g608457,Ratanakiri,Cambodia,https://www.tripadvisor.com/Tourism-g608457-Ratanakiri_Province-Tourism.html
g325573,Sihanoukville,Cambodia,https://www.tripadvisor.com/Tourism-g325573-Sihanoukville_Sihanoukville_Province-Tourism.html
g1023552,Takeo,Cambodia,https://www.tripadvisor.com/Tourism-g1023552-Takeo_Saga_Prefecture_Kyushu-Tourism.html
g3644844,Adamawa,Cameroon,https://www.tripadvisor.com/Tourism-g3644844-Adamawa_Region-Tourism.html
g3644841,Littoral,Cameroon,https://www.tripadvisor.com/Tourism-g3644841-Littoral_Region-Tourism.html
g42533,Northwest,Cameroon,https://www.tripadvisor.com/Tourism-g42533-Northwest_Michigan-Tourism.html
